	query	product_text	relevance_label	id
996289	humidifier without filter	raydrop Cool Mist 2.2L Humidifiers for Bedroom, 28dB Whisper-Quiet Ultrasonic Humidifier, Easy to Clean Home Humidifier, Auto Shut-Off, 30H Work Time, Night Light (Blue) From the brand Previous page Founded in 2019, we are committed to achieve “3S” target: Superb quality, Simple design and Satisfying service. We have strict standards to ensure that each product meets strict quality requirements, while achieving a balance between beauty and practicality through simple design. Your health is our concern and it is our responsibility to create a healthy and comfortable environment for you and your family. Best Sellers from raydrop New Release Next page  How do I clean my humidifier? Unplug and disassemble your humidifier. Fill the tank with water as you normally would, but add 2 tablespoons distilled white vinegar, too. Let this mixture sit in the tank for 30 minutes. Empty the humidifier, and use cleaning brush and cloth to clean any areas with extra build-up. Rinse all the parts and let them air dry before its next use. 2021 New Model KEY INFO POWER SOURCE: 110V POWER: 16W MIST OUTPUT (MAX): 230mL/h CAPACITY: 2.2L PACKAGE DIMENSIONS: 27×19×24 cm Protect Your Skin and Moisten Your Breath with raydrop Humidifier KC-RD06 2.2L Home Humidifer with Large Openning raydrop KC-RD06 home humidifier is designed for the bedroom, office, living room and so on, brings you fresh and wet air at the lower noise level which is less than 30dB. What can the raydrop 2.2L humidifier do for you? Reliving dry skin Promoting easier breath Improving the quality of sleep Moisturizing plant  Desk Humidifier The design is more flexible, pratical, and do not account for position. Moisturize Your Skin raydrop Air Humidifier offers an effective solution to counteract the effects of dry harsh winter air by moisture to any room . Soothe dry skin with added moisture so hands and lips are no longer dry. Quiet Operation Humidify the room without excess noise. It's perfect for baby sleeping .  Plant Humidifier Flower buds turn brown and fall off in dry air. Plants thrive in high levels of humidity. And using a raydrop Plant Humidifier helps return moisture to the air promoting plant growth . Easy to Control Classic dial knob makes it much more precise and effortless to adjust mist output volume . Just turn the knob to adjust the outflow from 60~230mL/h. Easy to Clean inside Designed with 9.5 cm large opening , raydrop humidifiers for bedroom is really convenient for your daily clean and easy to refill.  Installation Steps 1. Turn the water tank upside down. 2. Remove the tank cap and fill the tank with clean and cool water only. 3. Attach the tank cap and place the tank back to the base 4. Plug the power cord into a wall socket and rotate the control knob clockwise to the ON position.  	1	116529
836774	step in bike trailer coupler	"Burley Bee, 1 and 2 Seat Lightweight, Kid Bike-Only Trailer  Our iconic bike only trailer is designed to enable family adventures without sacrificing safety or durability. This lightweight, nimble trailer features comfortable seating for one or two children, UPF 50+ tinted windows and plenty of cargo space. Share your love for the outdoors with your little ones in the Burley Bee®. Available in single or double seat models.  Our iconic bike only trailer is designed to enable family adventures without sacrificing safety or durability. This lightweight, nimble trailer features comfortable seating for one or two children, UPF 50+ tinted windows and plenty of cargo space. Share your love for the outdoors with your little ones in the Burley Bee®. Available in single or double seat models.From the manufacturer Burley Bee Kid Bike Trailer Nimble, easy to use, and perfect for exploring. This entry-level bike trailer enables your daily excursions with the safety and durability you expect from Burley.  Rear Cargo Space Large rear cargo space to hold anything you'll need on your adventure. Hammock Style Seat A hammock style seat means your child is not sitting on the floor of the trailer. Burley’s standard helmet pocket and five point harness system are key features of the Bee seat. Velcro is on the seat if you would like to add padding with additional accessories. Compact Fold Trailer folds flat for easy transportation and storage. Visibility Visibility is a top concern when biking. The cover features reflective piping, and reflectors on the wheels. Burley standard child trailer safety features also include: reflectors on the front and back of the trailer, and a neon orange Safety Flag.  Bee (1 Seat) Bee (2 Seat) Honey Bee Encore X D'Lite X Cub X Number of Riders 1 2 2 2 1 or 2 2 Capacity (lb/kg) 75 / 34 100 / 45 100 / 45 100 / 45 75 / 34 (1 Seat), 100 / 45 (2 Seat) 100 / 45 Includes Bicycle Tow-Bar & 1-Wheel Stroller Kit Bicycle Tow-Bar Only Bicycle Tow-Bar Only ✓ ✓ ✓ ✓ All-Kit Compatible Bike Only Bike Only Bike & 1-Wheel Stroller Kit Only ✓ ✓ Yes, except for 16+ Wheel Kit Premium Seat Pads - - - Standard Seat Pads ✓ ✓ Converts to Cargo Trailer - - - ✓ ✓ ✓ 5-Position, Adjustable Suspension - - - Non-Adjustable Suspension ✓ ✓ 20"" Premium Wheel 20"" Standard 20"" Standard 20"" Standard ✓ ✓ ✓ 3-Position Recline - - - - Independently Reclining Seats Independently Reclining Seats Burley has been creating quality, durable products for more than 40 years. We stand by our products, with a deep catalog of spare parts and personalized support. We’re here to enable adventure and keep you rolling. That’s why we test our products to multiple X on key durability tests.   "	1	1318978
865811	sds max chisel 120	"4-in Wide THINSET REMOVAL BIT, Floor Scraper, SDS Plus!!! (4"" X 10"")  THINSET REMOVAL BIT - 4 in. X 10 in. SDS Plus Scaling Chisel Remove More Thinset per Pass 4 in. W blade removes even the most stubborn thinset Heat-treated, forged steel alloy for excellent edge retention and durability Thin blade removes stubborn Thinset without damaging the sub-floor Thin blade string enough to ""pop up"" tiles for faster removal Shock resistant steel alloy designed for high impact stresses  Improved locking hardware (medium thread locker and Nord-lock washers) Compatible with all standard SDS-Plus rotary hammers  "	1	752042
1227719	open when letters kit	BUSINESS AND LEGAL 500 LETTER TEMPLATES: A BOOK FOR BUSY PROFESSIONALS 	1	1312749
193448	garden gate	Zippity Outdoor Products WF29012 Black Metal Gate  This black metal garden gate is designed to complement the 42in Tall Zippity Garden Fence. Standing 41in tall, this gate comes with 1 stake and a small latch to attach the gate to the stake. Lift the gate slightly to swing open or close and hook the latch to the stake to secure the gate.  This black metal garden gate is designed to complement the 42in Tall Zippity Garden Fence. Standing 41in tall, this gate comes with 1 stake and a small latch to attach the gate to the stake. Lift the gate slightly to swing open or close and hook the latch to the stake to secure the gate.From the brand Previous page Zippity Outdoor Products was designed based on customers' requests for a simpler fence. Along with a full line of permanent and semi-permanent maintenance-free fencing, we branched into other categories such as outdoor showers and poolside organizers. Our specialty? The No-Dig installation technique that makes assembling and installing our product so easy . Fence & Gates for All Needs Visit the Store Create Beautiful Spaces Designed for Pet Owners Yes, our products are for humans, but really we're all about pets. We know how important your precious pups are, and that's why so many of our products were designed to safely contain animals . Tightly spaced pickets to minimize chewing, picket height to ensure they don't escape, and portability are just some of the features we've incorporated to make sure your pets are the priority. Shop Our Catalog Visit the Store Virtually Maintenance-Free Our products made from Premium-Grade White Vinyl are virtually maintenance-free. This material is also UV and weather resistant. Why do we love what we do? We get to provide customers with access to creating their dream yard without the stress or the hefty cost. We are constantly inspired by how our customers create incredible outdoor spaces with our products! What makes our products unique? Our no-dig installation style is really what makes us stand out from other outdoor products. We believe in good ole' do-it-yourself handiness and have created products to reflect this. What problem are we solving? Fence assembly can be complex, expensive, and time-consuming, that's why our products were designed with you in-mind. Metal Fence/Gate Products While a bulk of our products are made from premium-grade vinyl , we also carry a line of black metal outdoor products. Compatible Gates Getting in and out of fence enclosures is important, that's why we have designed gate accessories for nearly our entire fence catalog. Compatible gate kits are made from the same premium-grade vinyl material and require no-dig installation. Gate Hardware Stainless steel gate hardware is included in our gate kits. Tools Required Zippity encourages customers to have their cordless drill and mallet ready when assembling products, but that's it! Zippity Outdoor Products is Small Business Certified by Amazon. We are a company based out of Charlotte, NC of a relatively small size, with large goals ! We saw a need in the market for outdoor fencing, that was semi-permanent, easy-to-install, and DIY friendly, thus Zippity was born. Support small businesses by shopping Zippity Outdoor Products. Zippity Outdoor Products is proud to be run and owned by a woman! Our fearless leader has been at the helm for over a decade and empowers other women to do the same! Support small, support women by shopping Zippity Outdoor Products. Coverage We are proud to offer limited ten year coverage on all of our products to ensure you can be confident in your purchase. Have Questions? If you have any questions we encourage you to reach out to ease any concerns you may have during the process. Customer Care Number: (877) 234-6196 Next page From the manufacturer 41in Semi-Permanent Black Metal Zippity Garden Fence Gate Create Instant Secured Access to Zippity Garden Fence This Zippity Garden Fence Gate is designed to give easy entry within your 42in Tall Zippity Garden Fence. This easy to install black metal gate is installed by driving the stakes into the ground using a rubber mallet. Please note that this gate can only be used with the 42in Tall Zippity Garden Fence (WF29007). It cannot be used as a standalone unit and is not compatible with the 25in Tall Zippity Garden Fence (WF29001). At a Glance Gate is 41in tall to topmost part of fence (36in tall at lowest point) Not recomended to contain large dogs  Frequently Asked Questions What fence is this gate made for? The 41in Zippity Metal Gate (WF29012) is designed to be paired with the 42in Zippity Metal Garden Fence. This gate is not designed to be freestanding and will only work in conjunction with the 42in Tall Zippity Black Metal Garden Fence (WF29007). Does this gate come with hardware? This gate unit comes with one gate panel, one stake, and a latch. How do I install this gate? Insert stake through the 4 eye holes of side A of the gate and use a rubber mallet to drive the stake into the ground until it can go no further. Use the included latch to attach the gate over to the stake on side B of the gate.   	1	1529037
201685	pink hair pins	RC ROCHE ORNAMENT 6 Pcs Womens Shell Dome Round Circle Stylish Plastic Strong Grip Hinge Side Slide Bun Maker Clips Girls Beauty Accessory Hair Clip, Large Black From the brand Previous page Side Slide Hair Clips Banana Clips Hair Claw Clips Hair Combs and Hair Sticks Next page   This stylish Roche Ornament hair clip features a beautiful swirly wave shell design with a secure hinge, wide teeth flat comb and a dome shell top. This hair grip holds all your hair in one place and allows you to create different bun hair styles. The side sliding clamp claws makes this tool easy to use without damaging or destroying your hair. Packaged in a 6-unit pack in sizes small, medium and large with an array of colors. SKU: RC292 RC ROCHE ORNAMENT - Hair & Fashion Accessories Banana Hair Clips Hair Sticks Bun Maker Clips Pumpkin Hair Clip Side Slide Clips Hair Combs For Thick Hair ✓ ✓ ✓ ✓ ✓ ✓ For Medium to Thin Hair ✓ ✓ ✓ ✓ ✓ Large Jaw Teeth Claw ✓ ✓ ✓ Has Different Sizes ✓ ✓ ✓ Has Color Collections ✓ ✓ ✓ ✓ ✓ ✓ 	1	888948
1380574	1/2 quart pan without lids lightweight kid	Farberware Classic Stainless Steel Saute Fry Pan with Lid, 2.75 Quart, Silver   This Farberware Classic Series Stainless Steel Sauté Pan with Lid goes instantly from cooking a fast breakfast in the morning to preparing family frypan meals at night. Farberware has been trusted for over 100 years, and this frying pan continues that tradition for a new generation. A full cap base featuring a thick aluminum core surrounded by stainless steel provides rapid, even heating, whether basting eggs or sautéing zucchini and squash. The frying pan is constructed of heavy-duty stainless steel polished to a mirror finish for a classic touch, and the comfortable handle with iconic styling provides a confident grasp. This pan works perfectly for making a weeknight dinner of Sloppy Joes or caramelizing onions and peppers with Italian sausage. A self-basting lid helps seal in heat and flavor, and the fry pan is dishwasher safe and oven safe to 350°F. Cooks who love the versatility and durability of other pots and pans from Farberware will find all kinds of uses for this big frying pan with lid. Prepare tried-and-true family favorites and create enticing new dishes with this Farberware Classic Series Stainless Steel 2.75-Quart Sauté Pan with Lid. Amazon.com Functional as well as beautiful, this 10-inch frying pan is made of heavy 18/10 stainless steel polished to a mirror finish. The pan has an aluminum core in its base to spread heat quickly and evenly. The core is completely clad in stainless steel so, like the rest of the pan, the bottom resists corrosion and discoloring and cleans up easily. Thick rolled rims add durability and make it possible to pour from the pan without dripping. Because the pan is 2-1/2 inches deep and comes with a tight-fitting, domed lid, it is roomy enough to fry chicken and sauté vegetables but can also be used for braising red cabbage and pork chops or for cooking chili on the stovetop or in the oven. (The handles are oven safe to 350 degrees F and stay cool on the stovetop.) The pan is dishwasher-safe and comes with a lifetime warranty against defects. --Fred Brack   This Farberware Classic Series Stainless Steel Sauté Pan with Lid goes instantly from cooking a fast breakfast in the morning to preparing family frypan meals at night. Farberware has been trusted for over 100 years, and this frying pan continues that tradition for a new generation. A full cap base featuring a thick aluminum core surrounded by stainless steel provides rapid, even heating, whether basting eggs or sautéing zucchini and squash. The frying pan is constructed of heavy-duty stainless steel polished to a mirror finish for a classic touch, and the comfortable handle with iconic styling provides a confident grasp. This pan works perfectly for making a weeknight dinner of Sloppy Joes or caramelizing onions and peppers with Italian sausage. A self-basting lid helps seal in heat and flavor, and the fry pan is dishwasher safe and oven safe to 350°F. Cooks who love the versatility and durability of other pots and pans from Farberware will find all kinds of uses for this big frying pan with lid. Prepare tried-and-true family favorites and create enticing new dishes with this Farberware Classic Series Stainless Steel 2.75-Quart Sauté Pan with Lid. Amazon.com Functional as well as beautiful, this 10-inch frying pan is made of heavy 18/10 stainless steel polished to a mirror finish. The pan has an aluminum core in its base to spread heat quickly and evenly. The core is completely clad in stainless steel so, like the rest of the pan, the bottom resists corrosion and discoloring and cleans up easily. Thick rolled rims add durability and make it possible to pour from the pan without dripping. Because the pan is 2-1/2 inches deep and comes with a tight-fitting, domed lid, it is roomy enough to fry chicken and sauté vegetables but can also be used for braising red cabbage and pork chops or for cooking chili on the stovetop or in the oven. (The handles are oven safe to 350 degrees F and stay cool on the stovetop.) The pan is dishwasher-safe and comes with a lifetime warranty against defects. --Fred BrackFrom the manufacturer 	1	329329
918241	blue entry rug	Ultralux Premium Heavy Duty Indoor Outdoor Entrance Mat | 31” x 47” | Absorbent, Strong, Anti-Slip Entry Rug Durable Doormat | Blue | Home or Office Use | Multiple Sizes  Ultralux Premium Indoor Outdoor Entrance Mats are the ultimate solution for keeping home and business entrances clean and safe. Anti-slip and easy to clean, our premium entrance mats offer the best dust, dirt and moisture control.  Heavy Duty Indoor Outdoor Doormat Made using a mix of natural and synthetic moisture absorbing materials, the innovative ribbed surface provides the highest amount of contact with shoes to efficiently remove more dirt, dust and moisture from footwear than any other door mat. Durable Long-lasting Construction Stylishly designed, this heavy-duty entrance mat is perfect for high traffic areas in home, commercial and industrial applications. With a strong non-slip rubber backing, this doormat provides excellent stability and safety; it is sure to deliver many years of long lasting floor protection. Versatile Perfect for use in any entrances, hallways, lobbies, porches, laundry rooms, garages, back doors, front doors, patios and kitchens. Suitable for indoor or outdoor use, Ultralux Premium doormats compliment any décor and environment. Low profile design High quality construction Low maintenance Ideal for high traffic areas Stylish ribbed surface Suitable for carpets and hard floors Non-slip backing Pet friendly  Ultimate Dirt Removal The doormat’s innovatively designed contoured surface ensures excellent dirt, dust and moisture removal from footwear and paws. High quality tough natural and synthetic moisture absorbing materials effectively keep hard floors and carpets clean and safe. 100% Natural Rubber Back Unlike many other doormats, Ultralux Premium Entrance Mats are manufactured with 100% strong natural rubber, which prevents moisture and dirt seeping through the mat and provides heavy duty long lasting floor protection. The non-slip nature of the rubber backing creates excellent stability, reduces mat movement and keeps the doormat firmly in place to reduce the risk of slipping. Easy to Clean The Ultralux Premium Entrance Mat is a low maintenance solution for keeping any entry area clean and safe. Simply vacuum, shake off outdoors, sweep with a broom or hose off the mat to keep the door mat clean and maintain longevity. Stylish Multi-Purpose Door Mat With a sleek, low profile design, this doormat is suitable for low-clearing entry ways and will not get stuck under doors. A versatile entrance mat for home, commercial and industrial use. Suitable for using indoors and outdoors and available in multiple colors and sizes to suit any application. Available colors: Blue, grey and light brown. Available sizes: 24” x 35”, 31” x 47”, 35” x 59”, 47” x 71”  	1	1378819
446790	12 inch carabiner rod	AC PERFORMANCE Stainless Steel M12 x 1.25 Metric Thread 31mm Length Single Turbo Brake Line Banjo Bolt with Copper Washers  Universal Stainless Steel Brake Fitting Adapter Single Banjo Bolts M12x1.25 L31mm Metric Comes in different sizes. Pls contact us for more product information.  Universal Stainless Steel Brake Fitting Adapter Single Banjo Bolts M12x1.25 L31mm Metric Comes in different sizes. Pls contact us for more product information.	1	804895
1386812	zip up nightgowns for women	Ekouaer Sleepwear Women Snap/Button Front Housecoats Cotton Dusters Short Sleeve House Dress S-XXL From the brand Previous page Women House Dress Button Down Nightshirt Women Satin Robe Couple Sleepwear for Christmas Christmas Pajamas Set Christmas Pajamas for women Womens Waffle Knit Loungewear Button Down Pajamas Set Zipper Front Robe for Women Long Nightgown for Women Sleepwear for Men/Women Classic Lounge Set for Women Next page  EKOUAER WOMEN’s SLEEPWEAR BUTTON FRONT COTTON NIGHTGOWN SHORT SLEEVE HOUSE DRESS Super comfort and soft Ekouaer nightgown dusters with classic solid color style and short sleeve long lounger sleep dress. Give you an easy fit snap front closure for stress-free wear. Essential 100% Cotton Nightgown EKOUAER SHORT SLEEVE SLEEPWEAR Solid color sleep gown/Snap front closure duster/Long lounger house dress Housecoats and Dusters with special neck/2 big great pockets that add functionality and style Nightgown dusters with loose and casual lounger design Ultra-soft,lightweight and breathable,even nice for maternity sleepwear. Perfect for sleepwear,lounger wear or casual wear at home. Previous page BEAUTIFUL The duster robe with lovely prints makes you beautiful while roaming in the garden. THOUGHTFUL DESIGN Fashion neckline design, button front Sleepwear and has two pockets. BUYER SHOW Wearing casual house coats allows you to enjoy free time in the room. DURABLE Durable Housecoat is a good helper for your housekeeping Next page 1 PRINTED HOUSECOATS 2 COTTON DUSTERS 3 ADORABLE PRINTED 4 BUYER SHOW 5 DURABLE HOUSECOAT A-navy NEW COLOR SERIES NAVY BLUE COLOR BLUE LEAVES SCOOPNECK NECK SCOOPNECK BUTTON FRONT CLOSURE_TYPE BUTTON FRONT 2 POCKETS POCKET 2 POCKETS NAVY BLUE COLOR SMALL YELLOW FLOWERS SCOOPNECK NECK SCOOPNECK BUTTON FRONT CLOSURE_TYPE BUTTON FRONT 2 POCKETS POCKET 2 POCKETS NAVY BLUE COLOR PINK FLOWERS SCOOPNECK NECK SCOOPNECK BUTTON FRONT CLOSURE_TYPE BUTTON FRONT 2 POCKETS POCKET 2 POCKETS NAVY BLUE COLOR BLUE WHITE LEAVES SCOOPNECK NECK SCOOPNECK BUTTON FRONT CLOSURE_TYPE BUTTON FRONT 2 POCKETS POCKET 2 POCKETS Previous page Pat9 Pat10 Pat8 A-pat4 Next page Learn More Learn More Learn More Learn More Snap Front House Duster for Convenience CASUAL NIGHTGOWN FOR WOMEN This snap-front duster robe is super soft and breathable that great for women that provides great coverage and keep you cool and nice all night. Everything from the length, material, to the neck line.etc any detail that is designed to give you total comfortable and convenient when relaxing rest at home even to the guests. Perfect for Spring,Summer and Fall.Ultra-soft,lightweight and breathable,even nice for maternity sleepwear. Is the fabric of the housecoats cotton? The fabric of the clothes is 100% cotton. Why do clothes crease? Because the fabric of the clothes is pure cotton so it is easy to crease. But cotton fiber is a natural fiber,the fiber can absorb water from the surrounding atmosphere, its water content of 8-10%,soft to the touch but not stiff. Does the house coat are button down on the front? or the button just decoration? Button in front of the sleepwear,can be opened,snap, not decorative. Can I put a 6.8-inch phone in housecoat pocket? Sufficient to hold objects up to 7 inches. SIZE CHART Garment Care: Washing Max Temperature 40°C, Do not Bleach About Size: There are 5 sizes (S, M, L, XL, XXL) available for the following listing. please allow 1-2cm differs due to manual measurement, thanks (All measurement in cm and please note 1cm=0.3937inch) 	1	451318
